,addrTag,askPrice1,askPrice2,askPrice3,askPrice4,askPrice5,askVolume1,askVolume2,askVolume3,askVolume4,askVolume5,bidPrice1,bidPrice2,bidPrice3,bidPrice4,bidPrice5,bidVolume1,bidVolume2,bidVolume3,bidVolume4,bidVolume5,broker,clock,exchTime,exchTimeUnderMs,high,iopv,last,localTime,localTimeUnderMs,low,numTrades,open,phaseCode,preClosePrice,status,tickerIndex,tickerName,totalAskQty,totalBidQty,tradingDay,turnover,volume,weightedAvgAskPrc,weightedAvgBidPrc
12,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,3967312,32112000,0,,0,,32946141,991828,,0,,,6.52,0,0,000016.SZ,0,0,20210706,0,0,,
6036,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,15560,33300000,0,,0,,33300522,3890,,0,,,6.52,0,0,000016.SZ,0,0,20210706,0,0,,
6037,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,24156,33300000,0,,0,,33300522,6039,,0,,,6.52,0,0,000016.SZ,0,0,20210706,0,0,,
14791,0,6.54,,,,,12000,6700,0,0,0,6.54,,,,,12000,0,0,0,0,0,915404,33309000,0,,0,,33309512,228851,,0,,,6.52,0,0,000016.SZ,0,0,20210706,0,0,,
19196,0,6.54,,,,,12000,8100,0,0,0,6.54,,,,,12000,0,0,0,0,0,476072,33318000,0,,0,,33318550,119018,,0,,,6.52,0,0,000016.SZ,0,0,20210706,0,0,,
21035,0,6.51,,,,,200,700,0,0,0,6.51,,,,,200,0,0,0,0,0,3168012,33327000,0,,0,,33327533,792003,,0,,,6.52,0,0,000016.SZ,0,0,20210706,0,0,,
22369,0,6.51,,,,,200,600,0,0,0,6.51,,,,,200,0,0,0,0,0,855796,33336000,0,,0,,33336535,213949,,0,,,6.52,0,0,000016.SZ,0,0,20210706,0,0,,
24925,0,5.9,,,,,284700,495100,0,0,0,5.9,,,,,284700,0,0,0,0,0,1985560,33354000,0,,0,,33354568,496390,,0,,,6.52,0,0,000016.SZ,0,0,20210706,0,0,,
26297,0,5.9,,,,,304700,475200,0,0,0,5.9,,,,,304700,0,0,0,0,0,1500600,33363000,0,,0,,33363554,375150,,0,,,6.52,0,0,000016.SZ,0,0,20210706,0,0,,
27898,0,5.9,,,,,304900,475000,0,0,0,5.9,,,,,304900,0,0,0,0,0,3201148,33372000,0,,0,,33372539,800287,,0,,,6.52,0,0,000016.SZ,0,0,20210706,0,0,,
