,addrTag,askPrice1,askPrice2,askPrice3,askPrice4,askPrice5,askVolume1,askVolume2,askVolume3,askVolume4,askVolume5,bidPrice1,bidPrice2,bidPrice3,bidPrice4,bidPrice5,bidVolume1,bidVolume2,bidVolume3,bidVolume4,bidVolume5,broker,clock,exchTime,exchTimeUnderMs,high,iopv,last,localTime,localTimeUnderMs,low,numTrades,open,phaseCode,preClosePrice,status,tickerIndex,tickerName,totalAskQty,totalBidQty,tradingDay,turnover,volume,weightedAvgAskPrc,weightedAvgBidPrc
0,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,3255368,32112000,0,,0,,32946141,813842,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
5968,0,22.07,,,,,900,0,0,0,0,22.07,,,,,900,700,0,0,0,0,2140308,33300000,0,,0,,33300521,535077,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
5969,0,22.07,,,,,900,0,0,0,0,22.07,,,,,900,700,0,0,0,0,2174996,33300000,0,,0,,33300521,543749,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
14776,0,22.18,,,,,30600,6000,0,0,0,22.18,,,,,30600,0,0,0,0,0,3644408,33309000,0,,0,,33309511,911102,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
19176,0,22.18,,,,,36100,1400,0,0,0,22.18,,,,,36100,0,0,0,0,0,54728,33318000,0,,0,,33318550,13682,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
21029,0,22.18,,,,,36200,2300,0,0,0,22.18,,,,,36200,0,0,0,0,0,3027076,33327000,0,,0,,33327533,756769,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
22351,0,22.2,,,,,40800,5200,0,0,0,22.2,,,,,40800,0,0,0,0,0,427812,33336000,0,,0,,33336535,106953,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
23604,0,22.2,,,,,41400,4500,0,0,0,22.2,,,,,41400,0,0,0,0,0,3125556,33345000,0,,0,,33345520,781389,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
24919,0,22.06,,,,,64200,3000,0,0,0,22.06,,,,,64200,0,0,0,0,0,1824348,33354000,0,,0,,33354568,456087,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
26303,0,22.06,,,,,64800,2400,0,0,0,22.06,,,,,64800,0,0,0,0,0,1665052,33363000,0,,0,,33363554,416263,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
27888,0,22.05,,,,,61100,200,0,0,0,22.05,,,,,61100,0,0,0,0,0,2957480,33372000,0,,0,,33372539,739370,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
32792,0,22.05,,,,,61200,100,0,0,0,22.05,,,,,61200,0,0,0,0,0,2566696,33399000,0,,0,,33399559,641674,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
34561,0,22.05,,,,,61300,2800,0,0,0,22.05,,,,,61300,0,0,0,0,0,3352300,33408000,0,,0,,33408544,838075,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
38117,0,22.05,,,,,59700,6400,0,0,0,22.05,,,,,59700,0,0,0,0,0,1014308,33426000,0,,0,,33426516,253577,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
39982,0,22.05,,,,,62100,4300,0,0,0,22.05,,,,,62100,0,0,0,0,0,3959996,33435000,0,,0,,33435563,989999,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
41818,0,22.05,,,,,63100,3600,0,0,0,22.05,,,,,63100,0,0,0,0,0,4112,33444000,0,,0,,33444550,1028,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
43667,0,22.05,,,,,63200,3500,0,0,0,22.05,,,,,63200,0,0,0,0,0,2496976,33453000,0,,0,,33453535,624244,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
45528,0,22.05,,,,,63200,3900,0,0,0,22.05,,,,,63200,0,0,0,0,0,2141656,33462000,0,,0,,33462521,535414,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
47409,0,22.05,,,,,63400,3900,0,0,0,22.05,,,,,63400,0,0,0,0,0,76964,33471000,0,,0,,33471569,19241,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
54988,0,22.05,,,,,63400,4200,0,0,0,22.05,,,,,63400,0,0,0,0,0,672620,33507000,0,,0,,33507512,168155,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
56852,0,22.05,,,,,63400,4700,0,0,0,22.05,,,,,63400,0,0,0,0,0,668664,33516000,0,,0,,33516560,167166,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
58697,0,22.05,,,,,64100,5500,0,0,0,22.05,,,,,64100,0,0,0,0,0,399164,33525000,0,,0,,33525546,99791,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
60607,0,22.05,,,,,41400,29800,0,0,0,22.05,,,,,41400,0,0,0,0,0,2155416,33534000,0,,0,,33534531,538854,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
62407,0,22.05,,,,,40500,32400,0,0,0,22.05,,,,,40500,0,0,0,0,0,2320348,33543000,0,,0,,33543579,580087,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
64302,0,22.05,,,,,40500,32800,0,0,0,22.05,,,,,40500,0,0,0,0,0,1109132,33552000,0,,0,,33552565,277283,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
66138,0,22.05,,,,,40500,34300,0,0,0,22.05,,,,,40500,0,0,0,0,0,630928,33561000,0,,0,,33561551,157732,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
67939,0,22.05,,,,,40500,34400,0,0,0,22.05,,,,,40500,0,0,0,0,0,2117320,33570000,0,,0,,33570536,529330,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
69668,0,22.05,,,,,40900,34000,0,0,0,22.05,,,,,40900,0,0,0,0,0,2027504,33579000,0,,0,,33579522,506876,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
71431,0,22.05,,,,,40900,34600,0,0,0,22.05,,,,,40900,0,0,0,0,0,3461984,33588000,0,,0,,33588569,865496,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
73256,0,22.05,,,,,37200,38300,0,0,0,22.05,,,,,37200,0,0,0,0,0,3815416,33597000,0,,0,,33597555,953854,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
74090,0,22.05,,,,,36700,38800,0,0,0,22.05,,,,,36700,0,0,0,0,0,989920,33600000,0,,0,,33600551,247480,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
75867,0,22.05,,,,,51700,25700,0,0,0,22.05,,,,,51700,0,0,0,0,0,111116,33609000,0,,0,,33609537,27779,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
77546,0,22.05,,,,,56000,21700,0,0,0,22.05,,,,,56000,0,0,0,0,0,3416608,33618000,0,,0,,33618522,854152,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
79192,0,22.05,,,,,56700,21600,0,0,0,22.05,,,,,56700,0,0,0,0,0,1088980,33627000,0,,0,,33627570,272245,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
80793,0,22.05,,,,,58700,21100,0,0,0,22.05,,,,,58700,0,0,0,0,0,1221896,33636000,0,,0,,33636556,305474,,0,,,22.06,0,0,000001.SZ,0,0,20210706,0,0,,
