,addrTag,askPrice1,askPrice2,askPrice3,askPrice4,askPrice5,askVolume1,askVolume2,askVolume3,askVolume4,askVolume5,bidPrice1,bidPrice2,bidPrice3,bidPrice4,bidPrice5,bidVolume1,bidVolume2,bidVolume3,bidVolume4,bidVolume5,broker,clock,exchTime,exchTimeUnderMs,high,iopv,last,localTime,localTimeUnderMs,low,numTrades,open,phaseCode,preClosePrice,status,tickerIndex,tickerName,totalAskQty,totalBidQty,tradingDay,turnover,volume,weightedAvgAskPrc,weightedAvgBidPrc
2,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,3408356,32112000,0,,0,,32946141,852089,,0,,,19.78,0,0,000004.SZ,0,0,20210706,0,0,,
5974,0,21.76,,,,,16200,0,0,0,0,21.76,,,,,16200,538200,0,0,0,0,2376408,33300000,0,,0,,33300521,594102,,0,,,19.78,0,0,000004.SZ,0,0,20210706,0,0,,
5975,0,21.76,,,,,16200,0,0,0,0,21.76,,,,,16200,538200,0,0,0,0,2401296,33300000,0,,0,,33300521,600324,,0,,,19.78,0,0,000004.SZ,0,0,20210706,0,0,,
14820,0,21.76,,,,,136600,0,0,0,0,21.76,,,,,136600,715100,0,0,0,0,2472088,33309000,0,,0,,33309512,618022,,0,,,19.78,0,0,000004.SZ,0,0,20210706,0,0,,
19175,0,21.76,,,,,153000,0,0,0,0,21.76,,,,,153000,700700,0,0,0,0,38928,33318000,0,,0,,33318550,9732,,0,,,19.78,0,0,000004.SZ,0,0,20210706,0,0,,
21031,0,21.76,,,,,136300,0,0,0,0,21.76,,,,,136300,648500,0,0,0,0,3070916,33327000,0,,0,,33327533,767729,,0,,,19.78,0,0,000004.SZ,0,0,20210706,0,0,,
22353,0,21.76,,,,,137100,0,0,0,0,21.76,,,,,137100,511100,0,0,0,0,487300,33336000,0,,0,,33336535,121825,,0,,,19.78,0,0,000004.SZ,0,0,20210706,0,0,,
23605,0,21.76,,,,,152300,0,0,0,0,21.76,,,,,152300,445800,0,0,0,0,3145232,33345000,0,,0,,33345520,786308,,0,,,19.78,0,0,000004.SZ,0,0,20210706,0,0,,
24921,0,21.76,,,,,191200,0,0,0,0,21.76,,,,,191200,379200,0,0,0,0,1895704,33354000,0,,0,,33354568,473926,,0,,,19.78,0,0,000004.SZ,0,0,20210706,0,0,,
26300,0,21.76,,,,,191600,0,0,0,0,21.76,,,,,191600,247200,0,0,0,0,1567976,33363000,0,,0,,33363554,391994,,0,,,19.78,0,0,000004.SZ,0,0,20210706,0,0,,
27896,0,21.76,,,,,197500,0,0,0,0,21.76,,,,,197500,234900,0,0,0,0,3167228,33372000,0,,0,,33372539,791807,,0,,,19.78,0,0,000004.SZ,0,0,20210706,0,0,,
29503,0,21.76,,,,,232200,0,0,0,0,21.76,,,,,232200,195600,0,0,0,0,3598816,33381000,0,,0,,33381525,899704,,0,,,19.78,0,0,000004.SZ,0,0,20210706,0,0,,
