,addrTag,askPrice1,askPrice2,askPrice3,askPrice4,askPrice5,askVolume1,askVolume2,askVolume3,askVolume4,askVolume5,bidPrice1,bidPrice2,bidPrice3,bidPrice4,bidPrice5,bidVolume1,bidVolume2,bidVolume3,bidVolume4,bidVolume5,broker,clock,exchTime,exchTimeUnderMs,high,iopv,last,localTime,localTimeUnderMs,low,numTrades,open,phaseCode,preClosePrice,status,tickerIndex,tickerName,totalAskQty,totalBidQty,tradingDay,turnover,volume,weightedAvgAskPrc,weightedAvgBidPrc
4,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,3469060,32112000,0,,0,,32946141,867265,,0,,,4.9,0,0,000006.SZ,0,0,20210706,0,0,,
6012,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,3539396,33300000,0,,0,,33300521,884849,,0,,,4.9,0,0,000006.SZ,0,0,20210706,0,0,,
6013,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,3547784,33300000,0,,0,,33300521,886946,,0,,,4.9,0,0,000006.SZ,0,0,20210706,0,0,,
14787,0,4.92,,,,,3500,10500,0,0,0,4.92,,,,,3500,0,0,0,0,0,707608,33309000,0,,0,,33309512,176902,,0,,,4.9,0,0,000006.SZ,0,0,20210706,0,0,,
19193,0,4.92,,,,,3500,17300,0,0,0,4.92,,,,,3500,0,0,0,0,0,418620,33318000,0,,0,,33318550,104655,,0,,,4.9,0,0,000006.SZ,0,0,20210706,0,0,,
58715,0,4.92,,,,,3600,21500,0,0,0,4.92,,,,,3600,0,0,0,0,0,984124,33525000,0,,0,,33525546,246031,,0,,,4.9,0,0,000006.SZ,0,0,20210706,0,0,,
67946,0,4.92,,,,,5100,20000,0,0,0,4.92,,,,,5100,0,0,0,0,0,2287036,33570000,0,,0,,33570536,571759,,0,,,4.9,0,0,000006.SZ,0,0,20210706,0,0,,
114038,0,4.91,,,,,5200,800,0,0,0,4.91,,,,,5200,0,0,0,0,0,3973592,33789000,0,,0,,33789561,993398,,0,,,4.9,0,0,000006.SZ,0,0,20210706,0,0,,
126766,0,4.91,,,,,5200,2800,0,0,0,4.91,,,,,5200,0,0,0,0,0,3627976,33834000,0,,0,,33834552,906994,,0,,,4.9,0,0,000006.SZ,0,0,20210706,0,0,,
129569,0,4.91,,,,,6200,1800,0,0,0,4.91,,,,,6200,0,0,0,0,0,450208,33843000,0,,0,,33843538,112552,,0,,,4.9,0,0,000006.SZ,0,0,20210706,0,0,,
